EAN,Brand Color,PurchasePriceExclVAT,RecommendedPriceInclVAT
842142112735,,"20,50","495,00"
842142112742,,"26,50","635,00"
842142112759,,"41,00","990,00"
842142112766,,"50,00","1 200,00"
842142112773,,"59,00","1 400,00"
842142112780,,"20,50","495,00"
842142112797,,"26,50","635,00"
842142112803,,"41,00","990,00"
842142112810,,"50,00","1 200,00"
842142112827,,"59,00","1 400,00"
842142115774,,"7,20","195,00"
842142115781,,"8,80","245,00"
842142115798,,"10,40","275,00"
842142115804,,"16,00","445,00"
842142115811,,"23,20","625,00"
842142115828,,"7,20","195,00"
842142115835,,"8,80","245,00"
842142115842,,"10,40","275,00"
842142115859,,"16,00","445,00"
842142115866,,"23,20","625,00"
842142115422,,"54,00","1 495,00"
842142115446,,"80,00","2 195,00"
842142115439,,"108,00","2 995,00"
842142115453,,"160,00","3 995,00"
842142113824,,"52,00","1 400,00"
842142113831,,"72,00","1 950,00"
842142113848,,"84,00","2 300,00"
842142113794,,"52,00","1 400,00"
842142113800,,"72,00","1 950,00"
842142113817,,"84,00","2 300,00"
842142105416,,"20,00","550,00"
842142105423,,"40,00","1 000,00"
842142100145,,"22,00","600,00"
842142100152,,"27,20","750,00"
842142105430,,"20,00","550,00"
842142105447,,"40,00","1 000,00"
842142106635,,"15,60","425,00"
842142106642,,"22,80","625,00"
842142101654,,"18,00","495,00"
842142106611,,"15,60","425,00"
842142106628,,"22,80","625,00"
842142101685,,"18,00","495,00"
842142105898,,"6,00","165,00"
842142105683,,"7,20","195,00"
842142105904,,"8,80","245,00"
842142105690,,"10,40","275,00"
842142108646,,"16,00","445,00"
842142108677,,"23,20","625,00"
842142105874,,"6,00","165,00"
842142105669,,"7,20","195,00"
842142105881,,"8,80","245,00"
842142105676,,"10,40","275,00"
842142108585,,"16,00","445,00"
842142108615,,"23,20","625,00"
842142106581,,"9,60","265,00"
842142110564,,"11,20","300,00"
842142107076,,"16,80","455,00"
842142110571,,"24,40","675,00"
842142106598,,"36,00","950,00"
842142106604,,"46,80","1 250,00"
842142104242,,"9,60","265,00"
842142110540,,"11,20","300,00"
842142107083,,"16,80","455,00"
842142110557,,"24,40","675,00"
842142106567,,"36,00","950,00"
842142106574,,"46,80","1 250,00"
842142111950,,"4,00","110,00"
842142111967,,"5,20","145,00"
842142111974,,"6,00","165,00"
842142111981,,"7,20","195,00"
842142111998,,"8,80","235,00"
842142112001,,"13,60","370,00"
842142112018,,"19,60","535,00"
842142112025,,"29,20","790,00"
842142112032,,"38,00","1 050,00"
842142113251,,"145,00","3 500,00"
842142113268,,"320,00","7 000,00"
842142113275,,"320,00","7 000,00"
842142112049,,"4,00","110,00"
842142112056,,"5,20","145,00"
842142112063,,"6,00","165,00"
842142112070,,"7,20","195,00"
842142112087,,"8,80","235,00"
842142112094,,"13,60","370,00"
842142112100,,"19,60","535,00"
842142112117,,"29,20","790,00"
842142112124,,"38,00","1 050,00"
842142113282,,"145,00","3 500,00"
842142113299,,"320,00","7 000,00"
842142113305,,"320,00","7 000,00"
842142115514,,"10,80","295,00"
842142115545,,"10,80","295,00"
842142115484,,"10,80","295,00"
842142115521,,"10,80","295,00"
842142115552,,"10,80","295,00"
842142115491,,"10,80","295,00"
842142115538,,"10,80","295,00"
842142115569,,"10,80","295,00"
842142115507,,"10,80","295,00"
842142113619,,"23,20","625,00"
842142113626,,"34,00","900,00"
842142113633,,"44,40","1 200,00"
842142113640,,"23,20","625,00"
842142113657,,"34,00","900,00"
842142113664,,"44,40","1 200,00"
842142113435,,"7,20","195,00"
842142113442,,"8,80","235,00"
842142113459,,"13,60","370,00"
842142110151,,"31,60","850,00"
842142106475,,"39,80","1 095,00"
842142106482,,"47,20","1 275,00"
842142106499,,"56,00","1 500,00"
842142113466,,"7,20","195,00"
842142113473,,"8,80","235,00"
842142113480,,"13,60","370,00"
842142110168,,"31,60","850,00"
842142110175,,"39,80","1 095,00"
842142110182,,"47,20","1 275,00"
842142110199,,"56,00","1 500,00"
842142109179,,"12,00","335,00"
842142109209,,"15,20","415,00"
842142109230,,"18,40","500,00"
842142109261,,"23,20","630,00"
842142108776,,"12,00","335,00"
842142108806,,"15,20","415,00"
842142108837,,"18,40","500,00"
842142108868,,"23,20","630,00"
842142105799,,"3,50","95,00"
842142105805,,"4,00","110,00"
842142105812,,"5,20","145,00"
842142105850,,"7,20","195,00"
842142105638,,"6,00","165,00"
842142105829,,"7,20","195,00"
842142105645,,"8,80","235,00"
842142105652,,"13,60","370,00"
842142105867,,"13,60","375,00"
842142105836,,"19,60","535,00"
842142105843,,"29,20","790,00"
842142105706,,"3,50","95,00"
842142105713,,"4,00","110,00"
842142105553,,"5,20","145,00"
842142105751,,"7,20","195,00"
842142105560,,"6,00","165,00"
842142105720,,"7,20","195,00"
